Indicatori in serie storica 1951-2011 ai confini dell'epoca;;;;;;;;
;;;;;;;;
Avvertenze;;;;;;;;
;;;;;;;;
Numero d'ordine ;Codice;Descrizione Indicatore;;Livello territoriale;Descrizione livello territoriale;;Simboli;Descrizione dei simboli
1;P1;Popolazione residente;;1;Comune;;-;Indicatore non applicabile per valore nullo o poco significativo del denominatore
2;P5;Incidenza superficie centri e nuclei ;;3;Regione;;.. ;Dato non ancora disponibile 
3;P6;Incidenza della popolazione residente nei nuclei e case sparse ;;4;Italia;;…;Dato non rilevato o non disponibile
4;P7;Densità demografica;;;;;….;La mancanza o esiguità del fenomeno rende i valori non significativi
5;P8;Rapporto di mascolinità;;;;;;
6;P9;Incidenza popolazione residente con meno di 6 anni;;;;;;
7;P10;Incidenza  popolazione residente di 75 anni e più;;;;;;
8;P11;Indice di dipendenza anziani;;;;;;
9;P12;Indice di dipendenza giovani;;;;;;
10;P13;Indice di vecchiaia;;;;;;
11;P14;Incidenza dei separati legalmente e dei  divorziati;;;;;;
12;S1;Incidenza di residenti stranieri;;;;;;
13;S2;Incidenza di minori stranieri;;;;;;
14;S3;Incidenza di coppie miste;;;;;;
15;S4;Tasso di occupazione straniera;;;;;;
16;S5;Rapporto occupazione italiana/straniera;;;;;;
17;S6;Rapporto disoccupazione italiana/straniera;;;;;;
18;S7;Indice di mobilità residenziale straniera;;;;;;
19;S8;Indice di frequenza scolastica straniera ;;;;;;
20;S9;Rapporto frequenza scolastica italiana/straniera;;;;;;
21;S10;Rapporto lavoro indipendente italiano/straniero;;;;;;
22;F1;Ampiezza media delle famiglie ;;;;;;
23;F2;Incidenza famiglie senza nuclei;;;;;;
24;F3;Incidenza famiglie con due o più nuclei;;;;;;
25;F4;Incidenza di giovani che vivono da soli;;;;;;
26;F5;Incidenza di famiglie monogenitoriali giovani ;;;;;;
27;F6;Incidenza di coppie giovani senza figli ;;;;;;
28;F7;Incidenza di coppie giovani con figli;;;;;;
29;F8;Incidenza di anziani soli;;;;;;
30;F9;Incidenza di famiglie monogenitoriali anziane;;;;;;
31;F10;Incidenza di coppie anziane senza figli ;;;;;;
32;F11;Incidenza di coppie anziane con figli;;;;;;
33;A1;Incidenza delle abitazioni in proprietà ;;;;;;
34;A2;Superficie media delle abitazioni occupate;;;;;;
35;A3;Potenzialità d'uso degli edifici;;;;;;
36;A4;Potenzialità di uso abitativo in centro abitato;;;;;;
37;A5;Potenzialità di uso abitativo in nucleo e case sparse ;;;;;;
38;A6;Età media del patrimonio abitativo recente;;;;;;
39;SS2;Indice di disponibilità dei servizi nell'abitazione;;;;;;
40;A8;Incidenza edifici in buono stato di conservazione ;;;;;;
41;A9;Incidenza edifici in pessimo stato di conservazione ;;;;;;
42;A10;Consistenza delle abitazioni storiche occupate;;;;;;
43;A11;Indice di espansione edilizia nei centri e nuclei abitati;;;;;;
44;A12;Metri quadrati per occupante nelle abitazioni occupate ;;;;;;
45;A13;Indice di sottoutilizzo delle abitazioni ;;;;;;
46;A14;Indice di affollamento delle abitazioni ;;;;;;
47;A15;Mobilità residenziale  ;;;;;;
48;SS1;Rapporto occupanti e stanze  delle abitazioni occupate da residenti;;;;;;
49;I1;Differenziali di genere per l'istruzione superiore;;;;;;
50;I2;Adulti in apprendimento permanente;;;;;;
51;I3;Rapporto adulti con diploma o laurea/licenza media ;;;;;;
52;I4;Incidenza  di analfabeti;;;;;;
