"CIRCOSCRIZIONE";"COLLEGIO";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"LOMBARDIA 2";"Erba";"ANZANO DEL PARCO";1246;;1151;;31;"PDS";"78"
"LOMBARDIA 2";"Erba";"ANZANO DEL PARCO";1246;;1151;;31;"FORZA ITALIA";"238"
"LOMBARDIA 2";"Erba";"ANZANO DEL PARCO";1246;;1151;;31;"PANNELLA-SGARBI";"25"
"LOMBARDIA 2";"Erba";"ANZANO DEL PARCO";1246;;1151;;31;"CCD-CDU";"47"
"LOMBARDIA 2";"Erba";"ANZANO DEL PARCO";1246;;1151;;31;"ALLEANZA NAZIONALE";"68"
"LOMBARDIA 2";"Erba";"ANZANO DEL PARCO";1246;;1151;;31;"LEGA NORD";"462"
"LOMBARDIA 2";"Erba";"ANZANO DEL PARCO";1246;;1151;;31;"RIFONDAZIONE COMUNISTA";"66"
"LOMBARDIA 2";"Erba";"ANZANO DEL PARCO";1246;;1151;;31;"MOV.SOC.TRICOLORE";"3"
"LOMBARDIA 2";"Erba";"ANZANO DEL PARCO";1246;;1151;;31;"RINNOVAMENTO IT-DINI";"33"
"LOMBARDIA 2";"Erba";"ANZANO DEL PARCO";1246;;1151;;31;"FEDERAZIONE DEI VERDI";"29"
"LOMBARDIA 2";"Erba";"ANZANO DEL PARCO";1246;;1151;;31;"POP-SVP-PRI-UD-PRODI";"48"
"LOMBARDIA 2";"Erba";"AROSIO";3459;;3300;;73;"FORZA ITALIA";"670"
"LOMBARDIA 2";"Erba";"AROSIO";3459;;3300;;73;"PDS";"233"
"LOMBARDIA 2";"Erba";"AROSIO";3459;;3300;;73;"LEGA NORD";"1196"
"LOMBARDIA 2";"Erba";"AROSIO";3459;;3300;;73;"PANNELLA-SGARBI";"72"
"LOMBARDIA 2";"Erba";"AROSIO";3459;;3300;;73;"CCD-CDU";"176"
"LOMBARDIA 2";"Erba";"AROSIO";3459;;3300;;73;"ALLEANZA NAZIONALE";"200"
"LOMBARDIA 2";"Erba";"AROSIO";3459;;3300;;73;"RIFONDAZIONE COMUNISTA";"173"
"LOMBARDIA 2";"Erba";"AROSIO";3459;;3300;;73;"POP-SVP-PRI-UD-PRODI";"207"
"LOMBARDIA 2";"Erba";"AROSIO";3459;;3300;;73;"FEDERAZIONE DEI VERDI";"75"
"LOMBARDIA 2";"Erba";"AROSIO";3459;;3300;;73;"RINNOVAMENTO IT-DINI";"122"
"LOMBARDIA 2";"Erba";"AROSIO";3459;;3300;;73;"MOV.SOC.TRICOLORE";"17"
"LOMBARDIA 2";"Erba";"ASSO";2610;;2320;;53;"CCD-CDU";"122"
"LOMBARDIA 2";"Erba";"ASSO";2610;;2320;;53;"POP-SVP-PRI-UD-PRODI";"160"
"LOMBARDIA 2";"Erba";"ASSO";2610;;2320;;53;"LEGA NORD";"716"
"LOMBARDIA 2";"Erba";"ASSO";2610;;2320;;53;"PDS";"166"
"LOMBARDIA 2";"Erba";"ASSO";2610;;2320;;53;"PANNELLA-SGARBI";"39"
"LOMBARDIA 2";"Erba";"ASSO";2610;;2320;;53;"ALLEANZA NAZIONALE";"185"
"LOMBARDIA 2";"Erba";"ASSO";2610;;2320;;53;"RIFONDAZIONE COMUNISTA";"144"
"LOMBARDIA 2";"Erba";"ASSO";2610;;2320;;53;"RINNOVAMENTO IT-DINI";"67"
"MARCHE";"Ascoli Piceno";"ACQUASANTA";4132;;2593;;123;"ALLEANZA NAZIONALE";"557"
