"DATAELEZIONE";"CODTIPOELEZIONE";"CIRCOSCRIZIONE";"descrlista";"votiLista";"cognome";"nome";"datanascita";"luogonascita";"sesso";"CODTIPOELETTO"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"LA MARGHERITA";252876;"LETTA";"ENRICO";"20/08/1966";"PISA";"M";"E"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"LA MARGHERITA";252876;"MARINO";"MAURO MARIA";"20/12/1963";"TORINO";"M";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"RIFONDAZIONE COMUNISTA";112348;"BERTINOTTI";"FAUSTO";"22/03/1940";"MILANO";"M";"E"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"RIFONDAZIONE COMUNISTA";112348;"PROVERA";"MARILDE";"01/03/1953";"AOSTA";"F";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"LISTA DI PIETRO";62164;"VELTRI";"CORNELIO DETTO ELIO";"08/05/1938";"LONGOBARDI";"M";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"LISTA DI PIETRO";62164;"BUQUICCHIO";"ANDREA";"26/07/1950";"BARI";"M";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"ALLEANZA NAZIONALE";133987;"MARTINAT";"UGO GIOVANNI";"28/04/1942";"SETTIMO TORINESE";"M";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"ALLEANZA NAZIONALE";133987;"MENIA";"ROBERTO";"03/12/1961";"PIEVE DI CADORE";"M";"U"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"LEGA NORD";63434;"BORGHEZIO";"MARIO";"03/12/1947";"TORINO";"M";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"LEGA NORD";63434;"CAVALLOTTO";"DAVIDE";"14/04/1976";"TORINO";"M";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"VERDI-VERDI";18262;"LUPI";"ALESSANDRO";"14/06/1971";"TORINO";"M";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"VERDI-VERDI";18262;"ROCCHETTA";"GIORGIA";"15/01/1974";"TORINO";"F";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"COMUNISTI ITALIANI";23204;"COSSUTTA";"ARMANDO";"02/09/1926";"MILANO";"M";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"COMUNISTI ITALIANI";23204;"BROGI";"FIORENZA";"29/09/1936";"VERONA";"F";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"PANNELLA-BONINO";42655;"CAPPATO";"MARCO";"25/05/1971";"MILANO";"M";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"PANNELLA-BONINO";42655;"D'ELIA";"SERGIO";"05/01/1952";"PONTECORVO(FR)";"M";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"DEMOCRATICI SINISTRA";264334;"FASSINO";"PIERO FRANCO RODOLFO";"07/10/1949";"AVIGLIANA";"M";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"DEMOCRATICI SINISTRA";264334;"NEGRI";"MAGDA";"14/12/1949";"NOVARA";"F";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"ABOLIZIONE SCORPORO";867;"GRECO";"ANTONIO";"06/07/1933";"MARCEDUSA";"M";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"ABOLIZIONE SCORPORO";867;"D'INCECCO";"GERMANO";"03/06/1967";"PESCARA";"M";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"NUOVO PSI";8251;"GUGLIELMINETTI";"LUCA";"11/02/1963";"PISA";"M";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"NUOVO PSI";8251;"PALAZZO";"STEFANIA";"11/02/1973";"TORINO";"F";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"CCD-CDU";26481;"FERRERO";"ALBERTO";"22/02/1941";"TORINO";"M";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"CCD-CDU";26481;"SETTE";"VITTORIO";"11/12/1940";"PRAZZO";"M";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"FORZA ITALIA";458512;"BERLUSCONI";"SILVIO";"29/09/1936";"MILANO";"M";"U"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"FORZA ITALIA";458512;"ROSSO";"ROBERTO";"20/09/1960";"CASALE MONFERRATO";"M";"E"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"DEMOCRAZIA EUROPEA";13668;"ALBERTO";"GIOVANNA";"07/11/1966";"CARMAGNOLA";"F";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"DEMOCRAZIA EUROPEA";13668;"VALENZA";"GISELLA";"28/07/1947";"CALTABELLOTTA";"F";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"IL GIRASOLE";18557;"FRANCESCATO";"GRAZIA CARLA";"23/11/1946";"PARUZZARO";"F";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 1";"IL GIRASOLE";18557;"LOCATELLI";"PIA ELDA";"13/08/1949";"VILLA D'ALME'";"F";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 2";"ALLEANZA NAZIONALE";131058;"ZACCHERA";"MARCO";"10/10/1951";"VERBANIA";"M";"N"
13/5/2001 00:00:00;"C";"PIEMONTE 2";"ALLEANZA NAZIONALE";131058;"LEO";"MAURIZIO";"25/07/1955";"ROMA";"M";"E"
13/5/2001 00:00:00;"C";"PIEMONTE 2";"ABOLIZIONE SCORPORO";1326;"GRECO";"ANTONIO";"06/07/1933";"MARCEDUSA";"M";"N"
