"CIRCOSCRIZIONE";"PROVINCIA";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTILISTA"
"LOMBARDIA 1";"MILANO";"SAN VITTORE OLONA";6507;3112;5751;2784;46;"RIFONDAZIONE COMUNISTA";"319"
"LOMBARDIA 2";"VARESE";"CUASSO AL MONTE";2654;1287;2278;1111;14;"LEGA NORD";"289"
"LOMBARDIA 2";"VARESE";"CUASSO AL MONTE";2654;1287;2278;1111;14;"NO EURO";"15"
"LOMBARDIA 2";"VARESE";"CUASSO AL MONTE";2654;1287;2278;1111;14;"RIFONDAZIONE COMUNISTA";"88"
"LOMBARDIA 2";"VARESE";"CUASSO AL MONTE";2654;1287;2278;1111;14;"U.D.EUR POPOLARI";"5"
"LOMBARDIA 2";"VARESE";"CUASSO AL MONTE";2654;1287;2278;1111;14;"LA ROSA NEL PUGNO";"48"
"LOMBARDIA 2";"VARESE";"CUASSO AL MONTE";2654;1287;2278;1111;14;"ALLEANZA LOMBARDA AUTONOMIA";"30"
"LOMBARDIA 2";"VARESE";"CUASSO AL MONTE";2654;1287;2278;1111;14;"DI PIETRO ITALIA DEI VALORI";"33"
"LOMBARDIA 2";"VARESE";"CUASSO AL MONTE";2654;1287;2278;1111;14;"PARTITO PENSIONATI";"30"
"LOMBARDIA 2";"VARESE";"CUASSO AL MONTE";2654;1287;2278;1111;14;"COMUNISTI ITALIANI";"35"
"LOMBARDIA 2";"VARESE";"CUASSO AL MONTE";2654;1287;2278;1111;14;"FEDERAZIONE DEI VERDI";"55"
"LOMBARDIA 2";"VARESE";"CUASSO AL MONTE";2654;1287;2278;1111;14;"L'ULIVO";"494"
"LOMBARDIA 2";"VARESE";"CUGLIATE-FABIASCO";2336;1183;2011;1025;33;"FORZA ITALIA";"742"
"LOMBARDIA 2";"VARESE";"CUGLIATE-FABIASCO";2336;1183;2011;1025;33;"UNIONE DI CENTRO";"51"
"LOMBARDIA 2";"VARESE";"CUGLIATE-FABIASCO";2336;1183;2011;1025;33;"FIAMMA TRICOLORE";"13"
"LOMBARDIA 2";"VARESE";"CUGLIATE-FABIASCO";2336;1183;2011;1025;33;"ALLEANZA NAZIONALE";"192"
"LOMBARDIA 2";"VARESE";"CUGLIATE-FABIASCO";2336;1183;2011;1025;33;"DEM.CRIST.-NUOVO PSI";"5"
"LOMBARDIA 2";"VARESE";"CUGLIATE-FABIASCO";2336;1183;2011;1025;33;"ALTERNATIVA SOCIALE MUSSOLINI";"6"
"UMBRIA";"PERUGIA";"FOSSATO DI VICO";2037;991;1755;885;21;"COMUNISTI ITALIANI";"69"
"UMBRIA";"PERUGIA";"FOSSATO DI VICO";2037;991;1755;885;21;"FEDERAZIONE DEI VERDI";"16"
"UMBRIA";"PERUGIA";"FOSSATO DI VICO";2037;991;1755;885;21;"L'ULIVO";"657"
"UMBRIA";"PERUGIA";"FOSSATO DI VICO";2037;991;1755;885;21;"U.D.EUR POPOLARI";"14"
"UMBRIA";"PERUGIA";"FOSSATO DI VICO";2037;991;1755;885;21;"PARTITO PENSIONATI";"12"
"UMBRIA";"PERUGIA";"FOSSATO DI VICO";2037;991;1755;885;21;"DI PIETRO ITALIA DEI VALORI";"16"
"UMBRIA";"PERUGIA";"FOSSATO DI VICO";2037;991;1755;885;21;"RIFONDAZIONE COMUNISTA";"99"
"UMBRIA";"PERUGIA";"FOSSATO DI VICO";2037;991;1755;885;21;"DEM.CRIST.-NUOVO PSI";"10"
"UMBRIA";"PERUGIA";"FOSSATO DI VICO";2037;991;1755;885;21;"UNIONE DI CENTRO";"113"
"UMBRIA";"PERUGIA";"FOSSATO DI VICO";2037;991;1755;885;21;"FORZA ITALIA";"338"
"UMBRIA";"PERUGIA";"FOSSATO DI VICO";2037;991;1755;885;21;"NO EURO";"0"
"UMBRIA";"PERUGIA";"FOSSATO DI VICO";2037;991;1755;885;21;"ALTERNATIVA SOCIALE MUSSOLINI";"14"
"UMBRIA";"PERUGIA";"FOSSATO DI VICO";2037;991;1755;885;21;"FIAMMA TRICOLORE";"18"
"UMBRIA";"PERUGIA";"FOSSATO DI VICO";2037;991;1755;885;21;"LEGA NORD";"30"
"UMBRIA";"PERUGIA";"FOSSATO DI VICO";2037;991;1755;885;21;"ALLEANZA NAZIONALE";"277"
"UMBRIA";"PERUGIA";"FRATTA TODINA";1395;655;1242;608;7;"LA ROSA NEL PUGNO";"85"
"UMBRIA";"PERUGIA";"FRATTA TODINA";1395;655;1242;608;7;"COMUNISTI ITALIANI";"62"
"UMBRIA";"PERUGIA";"FRATTA TODINA";1395;655;1242;608;7;"FEDERAZIONE DEI VERDI";"3"
"UMBRIA";"PERUGIA";"FRATTA TODINA";1395;655;1242;608;7;"L'ULIVO";"542"
"UMBRIA";"PERUGIA";"FRATTA TODINA";1395;655;1242;608;7;"U.D.EUR POPOLARI";"9"
"UMBRIA";"PERUGIA";"FRATTA TODINA";1395;655;1242;608;7;"PARTITO PENSIONATI";"3"
"UMBRIA";"PERUGIA";"FRATTA TODINA";1395;655;1242;608;7;"DI PIETRO ITALIA DEI VALORI";"9"
"UMBRIA";"PERUGIA";"FRATTA TODINA";1395;655;1242;608;7;"RIFONDAZIONE COMUNISTA";"73"
"UMBRIA";"PERUGIA";"FRATTA TODINA";1395;655;1242;608;7;"DEM.CRIST.-NUOVO PSI";"8"
"UMBRIA";"PERUGIA";"FRATTA TODINA";1395;655;1242;608;7;"UNIONE DI CENTRO";"81"
"UMBRIA";"PERUGIA";"FRATTA TODINA";1395;655;1242;608;7;"FORZA ITALIA";"161"
"UMBRIA";"PERUGIA";"FRATTA TODINA";1395;655;1242;608;7;"NO EURO";"0"
"UMBRIA";"PERUGIA";"FRATTA TODINA";1395;655;1242;608;7;"ALTERNATIVA SOCIALE MUSSOLINI";"5"
"UMBRIA";"PERUGIA";"FRATTA TODINA";1395;655;1242;608;7;"FIAMMA TRICOLORE";"6"
"UMBRIA";"PERUGIA";"FRATTA TODINA";1395;655;1242;608;7;"LEGA NORD";"3"
"UMBRIA";"PERUGIA";"FRATTA TODINA";1395;655;1242;608;7;"ALLEANZA NAZIONALE";"171"
"UMBRIA";"PERUGIA";"GIANO DELL'UMBRIA";2661;1303;2327;1179;24;"LA ROSA NEL PUGNO";"83"
"UMBRIA";"PERUGIA";"GIANO DELL'UMBRIA";2661;1303;2327;1179;24;"COMUNISTI ITALIANI";"45"
"UMBRIA";"PERUGIA";"GIANO DELL'UMBRIA";2661;1303;2327;1179;24;"FEDERAZIONE DEI VERDI";"22"
"UMBRIA";"PERUGIA";"GIANO DELL'UMBRIA";2661;1303;2327;1179;24;"L'ULIVO";"856"
"UMBRIA";"PERUGIA";"GIANO DELL'UMBRIA";2661;1303;2327;1179;24;"U.D.EUR POPOLARI";"4"
"UMBRIA";"PERUGIA";"GIANO DELL'UMBRIA";2661;1303;2327;1179;24;"PARTITO PENSIONATI";"7"
"UMBRIA";"PERUGIA";"GIANO DELL'UMBRIA";2661;1303;2327;1179;24;"DI PIETRO ITALIA DEI VALORI";"12"
"UMBRIA";"PERUGIA";"GIANO DELL'UMBRIA";2661;1303;2327;1179;24;"RIFONDAZIONE COMUNISTA";"113"
"UMBRIA";"PERUGIA";"GIANO DELL'UMBRIA";2661;1303;2327;1179;24;"DEM.CRIST.-NUOVO PSI";"43"
"UMBRIA";"PERUGIA";"GIANO DELL'UMBRIA";2661;1303;2327;1179;24;"UNIONE DI CENTRO";"181"
"UMBRIA";"PERUGIA";"GIANO DELL'UMBRIA";2661;1303;2327;1179;24;"FORZA ITALIA";"500"
"UMBRIA";"PERUGIA";"GIANO DELL'UMBRIA";2661;1303;2327;1179;24;"NO EURO";"2"
"UMBRIA";"PERUGIA";"GIANO DELL'UMBRIA";2661;1303;2327;1179;24;"ALTERNATIVA SOCIALE MUSSOLINI";"4"
"UMBRIA";"PERUGIA";"GIANO DELL'UMBRIA";2661;1303;2327;1179;24;"FIAMMA TRICOLORE";"17"
"UMBRIA";"PERUGIA";"GIANO DELL'UMBRIA";2661;1303;2327;1179;24;"LEGA NORD";"13"
"UMBRIA";"PERUGIA";"GIANO DELL'UMBRIA";2661;1303;2327;1179;24;"ALLEANZA NAZIONALE";"368"
"UMBRIA";"PERUGIA";"GUALDO CATTANEO";4881;2393;4344;2191;57;"LA ROSA NEL PUGNO";"80"
"UMBRIA";"PERUGIA";"GUALDO CATTANEO";4881;2393;4344;2191;57;"COMUNISTI ITALIANI";"149"
"UMBRIA";"PERUGIA";"GUALDO CATTANEO";4881;2393;4344;2191;57;"FEDERAZIONE DEI VERDI";"33"
"UMBRIA";"PERUGIA";"GUALDO CATTANEO";4881;2393;4344;2191;57;"L'ULIVO";"1597"
"UMBRIA";"PERUGIA";"GUALDO CATTANEO";4881;2393;4344;2191;57;"U.D.EUR POPOLARI";"9"
"UMBRIA";"PERUGIA";"GUALDO CATTANEO";4881;2393;4344;2191;57;"PARTITO PENSIONATI";"11"
"UMBRIA";"PERUGIA";"GUALDO CATTANEO";4881;2393;4344;2191;57;"DI PIETRO ITALIA DEI VALORI";"29"
"UMBRIA";"PERUGIA";"GUALDO CATTANEO";4881;2393;4344;2191;57;"RIFONDAZIONE COMUNISTA";"265"
"UMBRIA";"PERUGIA";"GUALDO CATTANEO";4881;2393;4344;2191;57;"DEM.CRIST.-NUOVO PSI";"23"
"UMBRIA";"PERUGIA";"GUALDO CATTANEO";4881;2393;4344;2191;57;"UNIONE DI CENTRO";"292"
"UMBRIA";"PERUGIA";"GUALDO CATTANEO";4881;2393;4344;2191;57;"FORZA ITALIA";"890"
"UMBRIA";"PERUGIA";"GUALDO CATTANEO";4881;2393;4344;2191;57;"NO EURO";"4"
"UMBRIA";"PERUGIA";"GUALDO CATTANEO";4881;2393;4344;2191;57;"ALTERNATIVA SOCIALE MUSSOLINI";"29"
"UMBRIA";"PERUGIA";"GUALDO CATTANEO";4881;2393;4344;2191;57;"FIAMMA TRICOLORE";"42"
"UMBRIA";"PERUGIA";"GUALDO CATTANEO";4881;2393;4344;2191;57;"LEGA NORD";"35"
