"DATAELEZIONE";"CODTIPOELEZIONE";"REGIONE";"COLLEGIO";"descrlista";"votiLista";"cognome";"nome";"datanascita";"luogonascita";"sesso";"CODTIPOELETTO"
14/6/1987 00:00:00;"S";"LAZIO";"FROSINONE";"MSI-DN";18857;" MISSERVILLE          ";" R                    ";;;;"E"
14/6/1987 00:00:00;"S";"LAZIO";"SORA-CASSINO";"MSI-DN";12779;" MAGLIOCCHETTI        ";" B                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"LATINA";"MSI-DN";25119;" FINESTRA             ";" A                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"RIETI";"MSI-DN";7588;" BERTI                ";" L                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA I";"MSI-DN";7236;" ROMUALDI             ";" P                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA II";"MSI-DN";21776;" MARCHIO              ";" M                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA III";"MSI-DN";12799;" MOLLICONE            ";" N G                  ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA IV";"MSI-DN";28792;" VECCHIONI            ";" V                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA V";"MSI-DN";8241;" MANTOVANI            ";" C                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA VI";"MSI-DN";39679;" DE TOTTO             ";" G N                  ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA VII";"MSI-DN";16621;" PERINA               ";" M                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA VIII";"MSI-DN";10868;" GALLITTO             ";" B                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"VELLETRI";"MSI-DN";20926;" DE FRANCHI           ";" E                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"TIVOLI";"MSI-DN";12877;" FERRARI              ";" G                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"CIVITAVECCHIA";"MSI-DN";13087;" GIANCATERINI         ";" C                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"VITERBO";"MSI-DN";14232;" SIGNORELLI           ";" F                    ";;;;"E"
14/6/1987 00:00:00;"S";"LAZIO";"FROSINONE";"PRI";3344;" MORETTI              ";" M                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"SORA-CASSINO";"PRI";4716;" VISCA                ";" G                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"LATINA";"PRI";8794;" DEL BALZO            ";" S                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"RIETI";"PRI";2712;" SALETTI              ";" E I                  ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA I";"PRI";5117;" VISENTINI            ";" B                    ";;;;"E"
14/6/1987 00:00:00;"S";"LAZIO";"ROMA II";"PRI";9513;" VENANZETTU           ";" C                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA III";"PRI";3441;" DE MARTINI           ";" A                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA IV";"PRI";7219;" VENEZIANI            ";" A                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA V";"PRI";3010;" TUMBARELLO           ";" R                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA VI";"PRI";17666;" SQUARZINA            ";" L                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA VII";"PRI";7098;" FEDERIGHI            ";" T                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA VIII";"PRI";5213;" VENANZETTI           ";" C                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"VELLETRI";"PRI";13515;" VENANZETTI           ";" C                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"TIVOLI";"PRI";7098;" LORI DETTO PINO      ";" G                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"CIVITAVECCHIA";"PRI";3758;" PATERNOSTER          ";" N                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"VITERBO";"PRI";2277;" GNIGNERA             ";" B                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"FROSINONE";"P.RAD";1800;" STANZANI GHEDINI     ";" S A                  ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"SORA-CASSINO";"P.RAD";994;" MONTICELLI DETTA MAR ";" IA MONTI M           ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"LATINA";"P.RAD";4504;" D'AMATO              ";" L                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"RIETI";"P.RAD";1070;" ARCONTI              ";" L                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA I";"P.RAD";2995;" ZEVI                 ";" B                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA II";"P.RAD";8478;" D'AMATO              ";" L                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA III";"P.RAD";5677;" SPADACCIA            ";" G                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA IV";"P.RAD";14062;" MODUGNO DETTO MIMMO  ";" D                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA V";"P.RAD";3242;" STANZANI GHEDINI     ";" S A                  ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA VI";"P.RAD";19649;" SPADACCIA            ";" G                    ";;;;"E"
14/6/1987 00:00:00;"S";"LAZIO";"ROMA VII";"P.RAD";8263;" SPADACCIA            ";" G                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA VIII";"P.RAD";4607;" D'AMATO              ";" L                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"VELLETRI";"P.RAD";7429;" MODUGNO DETTO MIMMO  ";" D                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"TIVOLI";"P.RAD";3711;" MODUGNO DETTO MIMMO  ";" D                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"CIVITAVECCHIA";"P.RAD";4090;" BANDINELLI           ";" A                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"VITERBO";"P.RAD";1733;" DEL GATTO            ";" L                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"FROSINONE";"PLI";2166;" FANELLI              ";" A C                  ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"SORA-CASSINO";"PLI";2660;" ZINCONE              ";" S G                  ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"LATINA";"PLI";3701;" DE FABRITIIS         ";" V                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"RIETI";"PLI";764;" GUNNELLA             ";" B                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA I";"PLI";4876;" BOZZI                ";" A                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA II";"PLI";7927;" BOZZI                ";" A                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA III";"PLI";1980;" ARGILAS              ";" L                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA IV";"PLI";4243;" CIAMEI               ";" E                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA V";"PLI";2407;" ZINCONE              ";" B                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA VI";"PLI";9727;" FIUMARA              ";" A                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA VII";"PLI";5405;" STACCIOLI            ";" S                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA VIII";"PLI";4556;" BOZZI                ";" A                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"VELLETRI";"PLI";3415;" RAIMONDI             ";" A                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"TIVOLI";"PLI";1877;" POLLUTRI             ";" G                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"CIVITAVECCHIA";"PLI";1691;" KATTE KLISCHE DE LA  ";" GRANGE A             ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"VITERBO";"PLI";1893;" ASCENZI IN CONTUCCI  ";" E                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"FROSINONE";"PSDI";8386;" LONGO                ";" P                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"SORA-CASSINO";"PSDI";5745;" LONGO                ";" P                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"LATINA";"PSDI";6292;" MATACCHIONI          ";" P                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"RIETI";"PSDI";1609;" SEBASTIANI           ";" U                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA I";"PSDI";1028;" FANTO'               ";" G                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA II";"PSDI";3759;" TORTOSA              ";" O                    ";;;;
14/6/1987 00:00:00;"S";"LAZIO";"ROMA III";"PSDI";3409;" D'APPOLLONIO         ";" I                    ";;;;
