"REGIONE";"COLLEGIO";"COMUNE";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"VALLE D'AOSTA";"VALLE D'AOSTA";"JOVENCAN";504;;425;222;15;"AUT.LIB. DEMOCRATIE";"201"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA MAGDELEINE";77;;72;37;2;"LEGA NORD V.D'AOSTE";"1"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA MAGDELEINE";77;;72;37;2;"VALLEE D'AOSTE";"21"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA MAGDELEINE";77;;72;37;2;"ALTERNATIVA SOCIALE MUSSOLINI";"0"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA MAGDELEINE";77;;72;37;2;"FIAMMA TRICOLORE";"0"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA MAGDELEINE";77;;72;37;2;"UNIONE DI CENTRO";"0"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA MAGDELEINE";77;;72;37;2;"PARTITO PENSIONATI";"0"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA MAGDELEINE";77;;72;37;2;"FI-AN";"8"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA MAGDELEINE";77;;72;37;2;"AUT.LIB. DEMOCRATIE";"40"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA SALLE";1449;;1172;593;32;"LEGA NORD V.D'AOSTE";"31"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA SALLE";1449;;1172;593;32;"VALLEE D'AOSTE";"334"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA SALLE";1449;;1172;593;32;"ALTERNATIVA SOCIALE MUSSOLINI";"15"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA SALLE";1449;;1172;593;32;"FIAMMA TRICOLORE";"6"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA SALLE";1449;;1172;593;32;"UNIONE DI CENTRO";"33"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA SALLE";1449;;1172;593;32;"PARTITO PENSIONATI";"5"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA SALLE";1449;;1172;593;32;"FI-AN";"191"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA SALLE";1449;;1172;593;32;"AUT.LIB. DEMOCRATIE";"498"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA THUILE";595;;495;265;19;"LEGA NORD V.D'AOSTE";"25"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA THUILE";595;;495;265;19;"VALLEE D'AOSTE";"161"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA THUILE";595;;495;265;19;"ALTERNATIVA SOCIALE MUSSOLINI";"3"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA THUILE";595;;495;265;19;"FIAMMA TRICOLORE";"2"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA THUILE";595;;495;265;19;"UNIONE DI CENTRO";"15"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA THUILE";595;;495;265;19;"PARTITO PENSIONATI";"3"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA THUILE";595;;495;265;19;"FI-AN";"129"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LA THUILE";595;;495;265;19;"AUT.LIB. DEMOCRATIE";"126"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LILLIANES";381;;320;166;8;"LEGA NORD V.D'AOSTE";"10"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LILLIANES";381;;320;166;8;"VALLEE D'AOSTE";"127"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LILLIANES";381;;320;166;8;"ALTERNATIVA SOCIALE MUSSOLINI";"0"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LILLIANES";381;;320;166;8;"FIAMMA TRICOLORE";"2"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LILLIANES";381;;320;166;8;"UNIONE DI CENTRO";"8"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LILLIANES";381;;320;166;8;"PARTITO PENSIONATI";"7"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LILLIANES";381;;320;166;8;"FI-AN";"23"
"VALLE D'AOSTA";"VALLE D'AOSTA";"LILLIANES";381;;320;166;8;"AUT.LIB. DEMOCRATIE";"120"
"VALLE D'AOSTA";"VALLE D'AOSTA";"MONTJOVET";1320;;1104;567;21;"LEGA NORD V.D'AOSTE";"30"
"VALLE D'AOSTA";"VALLE D'AOSTA";"MONTJOVET";1320;;1104;567;21;"VALLEE D'AOSTE";"370"
