"REGIONE";"COLLEGIO";"PROVINCIA";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"VALLE D'AOSTA";"VALLE D'AOSTA";"AOSTA";"CHALLAND-SAINT-ANSELME";"570";;"479";"246";"17";"IL POPOLO DELLA LIBERTA'";"47"
"VALLE D'AOSTA";"VALLE D'AOSTA";"AOSTA";"CHALLAND-SAINT-VICTOR";"474";;"358";"187";"8";"IL POPOLO DELLA LIBERTA'";"48"
"VALLE D'AOSTA";"VALLE D'AOSTA";"AOSTA";"CHAMBAVE";"690";;"598";"313";"13";"IL POPOLO DELLA LIBERTA'";"55"
"VALLE D'AOSTA";"VALLE D'AOSTA";"AOSTA";"CHAMOIS";"77";;"63";"35";"2";"IL POPOLO DELLA LIBERTA'";"3"
"VALLE D'AOSTA";"VALLE D'AOSTA";"AOSTA";"CHAMPDEPRAZ";"494";;"400";"205";"6";"IL POPOLO DELLA LIBERTA'";"29"
"VALLE D'AOSTA";"VALLE D'AOSTA";"AOSTA";"CHAMPORCHER";"329";;"250";"134";"5";"IL POPOLO DELLA LIBERTA'";"21"
"VALLE D'AOSTA";"VALLE D'AOSTA";"AOSTA";"CHARVENSOD";"1744";;"1409";"719";"23";"IL POPOLO DELLA LIBERTA'";"248"
"VALLE D'AOSTA";"VALLE D'AOSTA";"AOSTA";"CHATILLON";"3602";;"2952";"1444";"48";"IL POPOLO DELLA LIBERTA'";"583"
"VALLE D'AOSTA";"VALLE D'AOSTA";"AOSTA";"COGNE";"1131";;"836";"431";"30";"IL POPOLO DELLA LIBERTA'";"131"
"VALLE D'AOSTA";"VALLE D'AOSTA";"AOSTA";"COURMAYEUR";"2222";;"1724";"889";"21";"IL POPOLO DELLA LIBERTA'";"471"
"VALLE D'AOSTA";"VALLE D'AOSTA";"AOSTA";"DONNAS";"2009";;"1612";"819";"35";"IL POPOLO DELLA LIBERTA'";"202"
"VALLE D'AOSTA";"VALLE D'AOSTA";"AOSTA";"DOUES";"327";;"278";"138";"5";"IL POPOLO DELLA LIBERTA'";"15"
"VALLE D'AOSTA";"VALLE D'AOSTA";"AOSTA";"EMARESE";"159";;"127";"69";"4";"IL POPOLO DELLA LIBERTA'";"11"
"VALLE D'AOSTA";"VALLE D'AOSTA";"AOSTA";"ETROUBLES";"354";;"277";"141";"7";"IL POPOLO DELLA LIBERTA'";"27"
"VALLE D'AOSTA";"VALLE D'AOSTA";"AOSTA";"FENIS";"1279";;"1043";"528";"31";"IL POPOLO DELLA LIBERTA'";"109"
"VALLE D'AOSTA";"VALLE D'AOSTA";"AOSTA";"FONTAINEMORE";"343";;"260";"140";"3";"IL POPOLO DELLA LIBERTA'";"20"
