"REGIONE";"COLLEGIO";"PROVINCIA";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"NOVA PONENTE";"2538";;"2143";"1084";"47";"SCELTA CIVICA CON MONTI PER L'ITALIA";"55"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"ORTISEI";"3105";;"2600";"1272";"75";"SCELTA CIVICA CON MONTI PER L'ITALIA";"148"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"PERCA";"1024";;"889";"453";"20";"SCELTA CIVICA CON MONTI PER L'ITALIA";"18"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"PONTE GARDENA";"114";;"102";"51";"2";"SCELTA CIVICA CON MONTI PER L'ITALIA";"8"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"CASTELROTTO";"4314";;"3589";"1777";"99";"SCELTA CIVICA CON MONTI PER L'ITALIA";"129"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"CHIENES";"1859";;"1584";"813";"41";"SCELTA CIVICA CON MONTI PER L'ITALIA";"32"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"CHIUSA";"3403";;"2994";"1490";"91";"SCELTA CIVICA CON MONTI PER L'ITALIA";"112"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"BRUNICO";"10485";;"8557";"4154";"203";"SCELTA CIVICA CON MONTI PER L'ITALIA";"490"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"CAMPO DI TRENS";"1759";;"1507";"780";"34";"SCELTA CIVICA CON MONTI PER L'ITALIA";"28"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"CAMPO TURES";"3547";;"3019";"1502";"99";"SCELTA CIVICA CON MONTI PER L'ITALIA";"76"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"MONGUELFO-TESIDO";"1847";;"1536";"783";"57";"SCELTA CIVICA CON MONTI PER L'ITALIA";"52"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"TERENTO";"1151";;"958";"498";"32";"SCELTA CIVICA CON MONTI PER L'ITALIA";"6"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"CORVARA IN BADIA";"1001";;"835";"410";"12";"SCELTA CIVICA CON MONTI PER L'ITALIA";"24"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"DOBBIACO";"2301";;"1914";"960";"50";"SCELTA CIVICA CON MONTI PER L'ITALIA";"98"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"SAN MARTINO IN BADIA";"1176";;"1001";"514";"22";"L'ALTO ADIGE NEL CUORE";"3"
"TRENTINO-ALTO ADIGE";"MERANO";"BOLZANO";"SAN MARTINO IN PASSIRIA";"2111";;"1691";"870";"71";"L'ALTO ADIGE NEL CUORE";"1"
"TRENTINO-ALTO ADIGE";"MERANO";"BOLZANO";"SAN PANCRAZIO";"1085";;"905";"463";"33";"L'ALTO ADIGE NEL CUORE";"1"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"NAZ-SCIAVES";"1842";;"1614";"821";"33";"L'ALTO ADIGE NEL CUORE";"3"
"TRENTINO-ALTO ADIGE";"MERANO";"BOLZANO";"GARGAZZONE";"1156";;"968";"486";"8";"L'ALTO ADIGE NEL CUORE";"4"
"TRENTINO-ALTO ADIGE";"MERANO";"BOLZANO";"GLORENZA";"621";;"517";"270";"15";"L'ALTO ADIGE NEL CUORE";"3"
"TRENTINO-ALTO ADIGE";"MERANO";"BOLZANO";"LACES";"3379";;"2765";"1365";"66";"L'ALTO ADIGE NEL CUORE";"1"
"TRENTINO-ALTO ADIGE";"MERANO";"BOLZANO";"LAGUNDO";"3409";;"2803";"1321";"48";"L'ALTO ADIGE NEL CUORE";"13"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"LAION";"1713";;"1485";"745";"54";"L'ALTO ADIGE NEL CUORE";"1"
"TRENTINO-ALTO ADIGE";"BOLZANO";"BOLZANO";"LAIVES";"11757";;"9634";"4724";"166";"L'ALTO ADIGE NEL CUORE";"409"
"TRENTINO-ALTO ADIGE";"MERANO";"BOLZANO";"LANA";"7576";;"6291";"3007";"157";"L'ALTO ADIGE NEL CUORE";"16"
"TRENTINO-ALTO ADIGE";"MERANO";"BOLZANO";"LASA";"2674";;"2210";"1115";"47";"L'ALTO ADIGE NEL CUORE";"1"
"TRENTINO-ALTO ADIGE";"MERANO";"BOLZANO";"LAUREGNO";"229";;"165";"94";"13";"L'ALTO ADIGE NEL CUORE";"0"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"LA VALLE";"872";;"750";"400";"23";"L'ALTO ADIGE NEL CUORE";"0"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"LUSON";"979";;"833";"410";"25";"L'ALTO ADIGE NEL CUORE";"1"
"TRENTINO-ALTO ADIGE";"BOLZANO";"BOLZANO";"MAGRE' SULLA STRADA DEL VINO";"830";;"719";"361";"36";"L'ALTO ADIGE NEL CUORE";"14"
"TRENTINO-ALTO ADIGE";"MERANO";"BOLZANO";"MALLES VENOSTA";"3400";;"2758";"1389";"83";"L'ALTO ADIGE NEL CUORE";"4"
"TRENTINO-ALTO ADIGE";"BRESSANONE";"BOLZANO";"MAREBBE";"1961";;"1616";"819";"55";"L'ALTO ADIGE NEL CUORE";"0"
"TRENTINO-ALTO ADIGE";"MERANO";"BOLZANO";"MARLENGO";"1756";;"1482";"726";"25";"L'ALTO ADIGE NEL CUORE";"2"
"TRENTINO-ALTO ADIGE";"MERANO";"BOLZANO";"MARTELLO";"604";;"502";"275";"9";"L'ALTO ADIGE NEL CUORE";"0"
"TRENTINO-ALTO ADIGE";"MERANO";"BOLZANO";"MELTINA";"1074";;"922";"486";"22";"L'ALTO ADIGE NEL CUORE";"2"
"TRENTINO-ALTO ADIGE";"MERANO";"BOLZANO";"MERANO";"25487";;"19695";"9204";"284";"L'ALTO ADIGE NEL CUORE";"149"
"TRENTINO-ALTO ADIGE";"MERANO";"BOLZANO";"PRATO ALLO STELVIO";"2275";;"1851";"944";"49";"L'ALTO ADIGE NEL CUORE";"1"
