"RIPARTIZIONE";"NAZIONE";"LISTA";"TOTVOTI"
"EUROPA";"IRLANDA";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";528,00
"EUROPA";"IRLANDA";"PARTITO DEMOCRATICO";820,00
"EUROPA";"IRLANDA";"CIVICA POPOLARE LORENZIN";31,00
"EUROPA";"IRLANDA";"MOVIMENTO 5 STELLE";1464,00
"EUROPA";"IRLANDA";"+EUROPA";696,00
"EUROPA";"IRLANDA";"NOI CON L'ITALIA - UDC";56,00
"EUROPA";"IRLANDA";"LIBERI E UGUALI";350,00
"EUROPA";"ISLANDA";"CIVICA POPOLARE LORENZIN";0,00
"EUROPA";"ISLANDA";"MOVIMENTO 5 STELLE";27,00
"EUROPA";"ISLANDA";"LIBERI E UGUALI";7,00
"EUROPA";"ISLANDA";"PARTITO DEMOCRATICO";15,00
"EUROPA";"ISLANDA";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";5,00
"EUROPA";"ISLANDA";"NOI CON L'ITALIA - UDC";6,00
"EUROPA";"ISLANDA";"+EUROPA";7,00
"EUROPA";"ISLANDA";"MOVIMENTO DELLE LIBERTA'";1,00
"EUROPA";"REPUBBLICA DI SERBIA";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";140,00
"EUROPA";"REPUBBLICA DI SERBIA";"+EUROPA";43,00
"EUROPA";"REPUBBLICA DI SERBIA";"CIVICA POPOLARE LORENZIN";10,00
"EUROPA";"REPUBBLICA DI SERBIA";"NOI CON L'ITALIA - UDC";9,00
"EUROPA";"REPUBBLICA DI SERBIA";"PARTITO DEMOCRATICO";130,00
"EUROPA";"REPUBBLICA DI SERBIA";"MOVIMENTO 5 STELLE";102,00
"EUROPA";"REPUBBLICA DI SERBIA";"MOVIMENTO DELLE LIBERTA'";5,00
"EUROPA";"REPUBBLICA DI SERBIA";"LIBERI E UGUALI";37,00
"EUROPA";"LIECHTENSTEIN";"LIBERI E UGUALI";3,00
"EUROPA";"LIECHTENSTEIN";"MOVIMENTO DELLE LIBERTA'";1,00
"EUROPA";"LIECHTENSTEIN";"CIVICA POPOLARE LORENZIN";3,00
"EUROPA";"LIECHTENSTEIN";"NOI CON L'ITALIA - UDC";3,00
"EUROPA";"LIECHTENSTEIN";"MOVIMENTO 5 STELLE";84,00
"EUROPA";"LIECHTENSTEIN";"PARTITO DEMOCRATICO";210,00
"EUROPA";"LIECHTENSTEIN";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";135,00
"EUROPA";"LIECHTENSTEIN";"+EUROPA";2,00
"EUROPA";"LUSSEMBURGO";"MOVIMENTO DELLE LIBERTA'";49,00
"EUROPA";"LUSSEMBURGO";"+EUROPA";1091,00
"EUROPA";"LUSSEMBURGO";"NOI CON L'ITALIA - UDC";100,00
"EUROPA";"LUSSEMBURGO";"LIBERI E UGUALI";386,00
"EUROPA";"ALBANIA";"MOVIMENTO 5 STELLE";128,00
"EUROPA";"ALBANIA";"CIVICA POPOLARE LORENZIN";2,00
"EUROPA";"ALBANIA";"+EUROPA";45,00
"EUROPA";"ALBANIA";"NOI CON L'ITALIA - UDC";13,00
"EUROPA";"ALBANIA";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";173,00
"EUROPA";"ALBANIA";"MOVIMENTO DELLE LIBERTA'";2,00
"EUROPA";"ALBANIA";"PARTITO DEMOCRATICO";140,00
"EUROPA";"ALBANIA";"LIBERI E UGUALI";18,00
"EUROPA";"ANDORRA";"CIVICA POPOLARE LORENZIN";0,00
"EUROPA";"ANDORRA";"NOI CON L'ITALIA - UDC";2,00
