"REGIONE";"COLLPLURINOM";"LISTA";"TOTVOTI";"SEGGILISTA"
"PIEMONTE";"PIEMONTE - 01";"LEGA";225463,00;1,00
"PIEMONTE";"PIEMONTE - 01";"FORZA ITALIA";151047,00;1,00
"PIEMONTE";"PIEMONTE - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";40003,00;0,00
"PIEMONTE";"PIEMONTE - 01";"NOI CON L'ITALIA - UDC";6589,00;0,00
"PIEMONTE";"PIEMONTE - 01";"MOVIMENTO 5 STELLE";335075,00;2,00
"PIEMONTE";"PIEMONTE - 01";"PARTITO DEMOCRATICO";268303,00;2,00
"PIEMONTE";"PIEMONTE - 01";"+EUROPA";51897,00;0,00
"PIEMONTE";"PIEMONTE - 01";"ITALIA EUROPA INSIEME";4842,00;0,00
"PIEMONTE";"PIEMONTE - 01";"CIVICA POPOLARE LORENZIN";4689,00;0,00
"PIEMONTE";"PIEMONTE - 01";"LIBERI E UGUALI";52821,00;0,00
"PIEMONTE";"PIEMONTE - 01";"POTERE AL POPOLO!";14238,00;0,00
"PIEMONTE";"PIEMONTE - 01";"CASAPOUND ITALIA";10558,00;0,00
"PIEMONTE";"PIEMONTE - 01";"IL POPOLO DELLA FAMIGLIA";7770,00;0,00
"PIEMONTE";"PIEMONTE - 01";"ITALIA AGLI ITALIANI";3860,00;0,00
"PIEMONTE";"PIEMONTE - 01";"PARTITO VALORE UMANO";3600,00;0,00
"PIEMONTE";"PIEMONTE - 01";"PARTITO REPUBBLICANO ITALIANO - ALA";912,00;0,00
"PIEMONTE";"PIEMONTE - 01";"GRANDE NORD";2007,00;0,00
"PIEMONTE";"PIEMONTE - 02";"LEGA";288213,00;2,00
"PIEMONTE";"PIEMONTE - 02";"FORZA ITALIA";166641,00;1,00
"PIEMONTE";"PIEMONTE - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";44613,00;1,00
"PIEMONTE";"PIEMONTE - 02";"NOI CON L'ITALIA - UDC";8349,00;0,00
"PIEMONTE";"PIEMONTE - 02";"MOVIMENTO 5 STELLE";261363,00;2,00
"PIEMONTE";"PIEMONTE - 02";"PARTITO DEMOCRATICO";206523,00;2,00
"PIEMONTE";"PIEMONTE - 02";"+EUROPA";32776,00;0,00
