"REGIONE";"LISTA";"VOTILISTA";"SEGGILISTA"
"PIEMONTE";"LEGA";513676,00;3,00
"PIEMONTE";"FORZA ITALIA";317688,00;2,00
"PIEMONTE";"FRATELLI D'ITALIA CON GIORGIA MELONI";84616,00;1,00
"PIEMONTE";"NOI CON L'ITALIA - UDC";14938,00;0,00
"PIEMONTE";"MOVIMENTO 5 STELLE";596438,00;4,00
"PIEMONTE";"PARTITO DEMOCRATICO";474826,00;4,00
"PIEMONTE";"+EUROPA";84673,00;0,00
"PIEMONTE";"ITALIA EUROPA INSIEME";8334,00;0,00
"PIEMONTE";"CIVICA POPOLARE LORENZIN";9213,00;0,00
"PIEMONTE";"LIBERI E UGUALI";83958,00;0,00
"PIEMONTE";"POTERE AL POPOLO!";23247,00;0,00
"PIEMONTE";"CASAPOUND ITALIA";21082,00;0,00
"PIEMONTE";"IL POPOLO DELLA FAMIGLIA";14812,00;0,00
"PIEMONTE";"ITALIA AGLI ITALIANI";10601,00;0,00
"PIEMONTE";"PARTITO VALORE UMANO";7259,00;0,00
"PIEMONTE";"PARTITO REPUBBLICANO ITALIANO - ALA";1772,00;0,00
"PIEMONTE";"GRANDE NORD";4881,00;0,00
"LOMBARDIA";"LEGA";1455177,00;9,00
"LOMBARDIA";"FORZA ITALIA";730053,00;5,00
"LOMBARDIA";"FRATELLI D'ITALIA CON GIORGIA MELONI";215091,00;1,00
"LOMBARDIA";"NOI CON L'ITALIA - UDC";50085,00;0,00
"LOMBARDIA";"MOVIMENTO 5 STELLE";1108039,00;7,00
"LOMBARDIA";"PARTITO DEMOCRATICO";1102193,00;8,00
"LOMBARDIA";"+EUROPA";162402,00;0,00
"LOMBARDIA";"ITALIA EUROPA INSIEME";25581,00;0,00
"LOMBARDIA";"CIVICA POPOLARE LORENZIN";20539,00;0,00
"LOMBARDIA";"LIBERI E UGUALI";146337,00;1,00
"LOMBARDIA";"POTERE AL POPOLO!";42374,00;0,00
"LOMBARDIA";"CASAPOUND ITALIA";48931,00;0,00
"LOMBARDIA";"IL POPOLO DELLA FAMIGLIA";34351,00;0,00
"LOMBARDIA";"ITALIA AGLI ITALIANI";33902,00;0,00
"LOMBARDIA";"PER UNA SINISTRA RIVOLUZIONARIA";9231,00;0,00
"LOMBARDIA";"PARTITO REPUBBLICANO ITALIANO - ALA";4234,00;0,00
"TRENTINO-ALTO ADIGE";"LEGA";98122,00;0,00
"TRENTINO-ALTO ADIGE";"FORZA ITALIA";36662,00;0,00
"TRENTINO-ALTO ADIGE";"FRATELLI D'ITALIA CON GIORGIA MELONI";13612,00;0,00
"TRENTINO-ALTO ADIGE";"NOI CON L'ITALIA - UDC";2817,00;0,00
"TRENTINO-ALTO ADIGE";"MOVIMENTO 5 STELLE";98599,00;0,00
"TRENTINO-ALTO ADIGE";"PARTITO DEMOCRATICO";75001,00;0,00
"TRENTINO-ALTO ADIGE";"+EUROPA";12023,00;0,00
"TRENTINO-ALTO ADIGE";"ITALIA EUROPA INSIEME";4238,00;0,00
"TRENTINO-ALTO ADIGE";"CIVICA POPOLARE LORENZIN";7222,00;0,00
"TRENTINO-ALTO ADIGE";"SVP - PATT";128282,00;1,00
"TRENTINO-ALTO ADIGE";"LIBERI E UGUALI";18666,00;0,00
"TRENTINO-ALTO ADIGE";"POTERE AL POPOLO!";5266,00;0,00
"TRENTINO-ALTO ADIGE";"CASAPOUND ITALIA";5953,00;0,00
"TRENTINO-ALTO ADIGE";"IL POPOLO DELLA FAMIGLIA";4808,00;0,00
"VENETO";"LEGA";839586,00;5,00
"VENETO";"FORZA ITALIA";286906,00;2,00
"VENETO";"FRATELLI D'ITALIA CON GIORGIA MELONI";113108,00;1,00
"VENETO";"NOI CON L'ITALIA - UDC";32955,00;0,00
"VENETO";"MOVIMENTO 5 STELLE";647960,00;4,00
"VENETO";"PARTITO DEMOCRATICO";450230,00;3,00
"VENETO";"+EUROPA";66970,00;0,00
"VENETO";"ITALIA EUROPA INSIEME";12709,00;0,00
"VENETO";"CIVICA POPOLARE LORENZIN";9489,00;0,00
"VENETO";"LIBERI E UGUALI";66813,00;0,00
"VENETO";"POTERE AL POPOLO!";15354,00;0,00
"VENETO";"CASAPOUND ITALIA";22619,00;0,00
"VENETO";"IL POPOLO DELLA FAMIGLIA";28593,00;0,00
"VENETO";"ITALIA AGLI ITALIANI";20144,00;0,00
"VENETO";"PARTITO VALORE UMANO";9336,00;0,00
"VENETO";"PER UNA SINISTRA RIVOLUZIONARIA";3676,00;0,00
"VENETO";"PARTITO REPUBBLICANO ITALIANO - ALA";2389,00;0,00
"VENETO";"GRANDE NORD";12626,00;0,00
"FRIULI-VENEZIA GIULIA";"LEGA";164105,00;2,00
"FRIULI-VENEZIA GIULIA";"FORZA ITALIA";76114,00;1,00
"FRIULI-VENEZIA GIULIA";"FRATELLI D'ITALIA CON GIORGIA MELONI";35032,00;0,00
"FRIULI-VENEZIA GIULIA";"NOI CON L'ITALIA - UDC";6391,00;0,00
"FRIULI-VENEZIA GIULIA";"MOVIMENTO 5 STELLE";156251,00;1,00
"FRIULI-VENEZIA GIULIA";"PARTITO DEMOCRATICO";128713,00;1,00
"FRIULI-VENEZIA GIULIA";"+EUROPA";19814,00;0,00
"FRIULI-VENEZIA GIULIA";"ITALIA EUROPA INSIEME";2942,00;0,00
"FRIULI-VENEZIA GIULIA";"CIVICA POPOLARE LORENZIN";2473,00;0,00
"FRIULI-VENEZIA GIULIA";"LIBERI E UGUALI";18815,00;0,00
"FRIULI-VENEZIA GIULIA";"POTERE AL POPOLO!";5117,00;0,00
"FRIULI-VENEZIA GIULIA";"CASAPOUND ITALIA";7810,00;0,00
"FRIULI-VENEZIA GIULIA";"IL POPOLO DELLA FAMIGLIA";4941,00;0,00
"FRIULI-VENEZIA GIULIA";"ITALIA AGLI ITALIANI";3290,00;0,00
"FRIULI-VENEZIA GIULIA";"PARTITO VALORE UMANO";2440,00;0,00
