"RIPARTIZIONE";"NAZIONE";"NUMELETTORITOTALI";"NUMELETTORIMASCHI";"NUMVOTANTITOTALI";"NUMVOTANTIMASCHI";"SKBIANCHE";"VOTIVALIDI";"SKNONVALIDE"
"EUROPA";"ALBANIA";1055,00;0,00;579,00;0,00;5,00;521,00;58,00
"EUROPA";"ANDORRA";366,00;0,00;50,00;0,00;0,00;47,00;3,00
"EUROPA";"AUSTRIA";21406,00;0,00;9223,00;0,00;197,00;8440,00;783,00
"EUROPA";"BELGIO";208973,00;0,00;45501,00;0,00;620,00;39793,00;5708,00
"EUROPA";"BULGARIA";1737,00;0,00;717,00;0,00;3,00;672,00;45,00
"EUROPA";"REPUBBLICA CECA";3908,00;0,00;1828,00;0,00;8,00;1769,00;59,00
"EUROPA";"STATO DELLA CITTA' DEL VATICANO";0,00;0,00;0,00;0,00;0,00;0,00;0,00
"EUROPA";"DANIMARCA";5881,00;0,00;2366,00;0,00;41,00;2256,00;110,00
"EUROPA";"FINLANDIA";2390,00;0,00;937,00;0,00;2,00;907,00;30,00
"EUROPA";"FRANCIA";308165,00;0,00;82742,00;0,00;1854,00;74291,00;8451,00
"EUROPA";"GERMANIA";535625,00;0,00;148664,00;0,00;1761,00;131188,00;17476,00
"EUROPA";"REGNO UNITO";232312,00;0,00;72451,00;0,00;628,00;64774,00;7677,00
"EUROPA";"GRECIA";8894,00;0,00;3229,00;0,00;49,00;3015,00;214,00
"EUROPA";"IRLANDA";12131,00;0,00;4251,00;0,00;40,00;3970,00;281,00
"EUROPA";"ISLANDA";221,00;0,00;75,00;0,00;0,00;68,00;7,00
"EUROPA";"REPUBBLICA DI SERBIA";1132,00;0,00;535,00;0,00;7,00;476,00;59,00
"EUROPA";"LIECHTENSTEIN";1128,00;0,00;489,00;0,00;11,00;441,00;48,00
"EUROPA";"LUSSEMBURGO";21081,00;0,00;8511,00;0,00;180,00;7656,00;855,00
"EUROPA";"MALTA";4292,00;0,00;1424,00;0,00;4,00;1264,00;160,00
"EUROPA";"MONACO";6141,00;0,00;3260,00;0,00;28,00;3044,00;216,00
"EUROPA";"NORVEGIA";3659,00;0,00;1372,00;0,00;7,00;1255,00;117,00
