"REGIONE";"COLLPLURINOM";"ELETTORITOTALI";"ELETTORIMASCHI";"NUMVOTANTITOTALI";"NUMVOTANTIMASCHI";"SKBIANCHE";"VOTIVALIDILISTE";"VOTIVALIDICAND";"SKNONVALIDE"
"PIEMONTE";"PIEMONTE - 01";1624578,00;773963,00;1225916,00;601940,00;9679,00;1183674,00;1183674,00;42242,00
"PIEMONTE";"PIEMONTE - 02";1517506,00;730128,00;1133625,00;564816,00;13693,00;1088340,00;1088340,00;45285,00
"LOMBARDIA";"LOMBARDIA - 01";1161650,00;561036,00;879388,00;440020,00;12152,00;852341,00;852341,00;27047,00
"LOMBARDIA";"LOMBARDIA - 02";1504511,00;734038,00;1203006,00;598797,00;16322,00;1168232,00;1168232,00;34774,00
"LOMBARDIA";"LOMBARDIA - 03";1520208,00;736333,00;1166512,00;578957,00;15002,00;1129919,00;1129919,00;36593,00
"LOMBARDIA";"LOMBARDIA - 04";1505201,00;709286,00;1128335,00;545557,00;11121,00;1099251,00;1099251,00;29084,00
"LOMBARDIA";"LOMBARDIA - 05";1241727,00;597604,00;963248,00;474844,00;9720,00;938777,00;938777,00;24471,00
"TRENTINO-ALTO ADIGE";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";724073,00;352861,00;543481,00;268282,00;17736,00;511271,00;511271,00;32210,00
"VENETO";"VENETO - 01";1553134,00;749128,00;1205160,00;599533,00;11652,00;1171904,00;1171904,00;33256,00
"VENETO";"VENETO - 02";1886997,00;913495,00;1507577,00;749101,00;13211,00;1469559,00;1469559,00;38018,00
"FRIULI-VENEZIA GIULIA";"FRIULI-VENEZIA GIULIA - 01";886339,00;424241,00;665611,00;327732,00;6372,00;643877,00;643679,00;21932,00
"LIGURIA";"LIGURIA - 01";1149900,00;539208,00;826799,00;404017,00;7739,00;803201,00;803201,00;23598,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 01";1702096,00;813659,00;1338289,00;659675,00;12579,00;1303163,00;1303163,00;35126,00
"EMILIA-ROMAGNA";"EMILIA-ROMAGNA - 02";1396604,00;675273,00;1087980,00;542506,00;12144,00;1057414,00;1057414,00;30566,00
"TOSCANA";"TOSCANA - 01";1494688,00;709206,00;1154506,00;565668,00;10235,00;1120800,00;1120800,00;33706,00
"TOSCANA";"TOSCANA - 02";1152749,00;550479,00;892916,00;442441,00;8702,00;866976,00;866976,00;25940,00
"UMBRIA";"UMBRIA - 01";625191,00;298934,00;487451,00;244091,00;4974,00;473763,00;473763,00;13688,00
"MARCHE";"MARCHE - 01";1095884,00;526968,00;844732,00;424058,00;10052,00;821527,00;821527,00;23205,00
"LAZIO";"LAZIO - 01";1208962,00;551377,00;874277,00;410571,00;7574,00;851570,00;851570,00;22707,00
"LAZIO";"LAZIO - 02";1217934,00;583648,00;885980,00;437484,00;12151,00;857637,00;857637,00;28343,00
"LAZIO";"LAZIO - 03";1625638,00;783826,00;1185036,00;590166,00;19768,00;1142547,00;1142547,00;42489,00
"ABRUZZO";"ABRUZZO - 01";964353,00;464574,00;723303,00;362547,00;9442,00;697717,00;697717,00;25586,00
"MOLISE";"MOLISE - 01";233710,00;113133,00;166650,00;84950,00;3030,00;159719,00;159719,00;6931,00
"CAMPANIA";"CAMPANIA - 01";1169122,00;561768,00;826751,00;420930,00;15411,00;792075,00;792075,00;34676,00
"CAMPANIA";"CAMPANIA - 02";1482727,00;698384,00;941662,00;473200,00;6531,00;918920,00;918920,00;22742,00
"CAMPANIA";"CAMPANIA - 03";1436895,00;686817,00;1005784,00;508698,00;15276,00;969276,00;969276,00;36508,00
"PUGLIA";"PUGLIA - 01";1426502,00;683917,00;976192,00;498183,00;10561,00;943399,00;943399,00;32793,00
"PUGLIA";"PUGLIA - 02";1545372,00;730090,00;1078568,00;540715,00;17100,00;1036212,00;1036212,00;42356,00
"BASILICATA";"BASILICATA - 01";423233,00;204814,00;300948,00;154209,00;5222,00;286309,00;286309,00;14639,00
"CALABRIA";"CALABRIA - 01";1402353,00;672545,00;890590,00;458831,00;16216,00;847784,00;847784,00;42806,00
"SICILIA";"SICILIA - 01";1873329,00;885418,00;1155198,00;588391,00;14067,00;1107120,00;1107120,00;48078,00
"SICILIA";"SICILIA - 02";1757007,00;835037,00;1131345,00;569977,00;12876,00;1086935,00;1086935,00;44410,00
"SARDEGNA";"SARDEGNA - 01";1269860,00;613830,00;834998,00;418901,00;8455,00;809352,00;809352,00;25646,00
