"REGIONE";"COLLEGIOPLURINOM";"COLLEGIOUNINOM";"ELETTORITOTALI";"ELETTORIMASCHI";"NUMVOTANTITOTALI";"NUMVOTANTIMASCHI";"SKBIANCHE";"VOTIVALIDILISTE";"VOTIVALIDICAND";"SKNONVALIDE"
"MARCHE";"MARCHE - 01";"02 - ANCONA";378552,00;181128,00;290919,00;145667,00;3383,00;283032,00;283032,00;7887,00
"MARCHE";"MARCHE - 01";"03 - ASCOLI PICENO";370131,00;178062,00;283410,00;142216,00;3667,00;275285,00;275285,00;8125,00
"LAZIO";"LAZIO - 01";"01 - ROMA - QUARTIERE GIANICOLENSE";399729,00;178772,00;295892,00;136110,00;2385,00;289093,00;289093,00;6799,00
"LAZIO";"LAZIO - 01";"02 - ROMA - QUARTIERE TUSCOLANO";373582,00;172940,00;261971,00;125746,00;2533,00;254483,00;254483,00;7488,00
"LAZIO";"LAZIO - 01";"03 - ROMA - QUARTIERE PORTUENSE";435651,00;199665,00;316414,00;148715,00;2656,00;307994,00;307994,00;8420,00
"LAZIO";"LAZIO - 02";"04 - ROMA - QUARTIERE COLLATINO";411074,00;192859,00;293348,00;140807,00;2658,00;285463,00;285463,00;7885,00
"LAZIO";"LAZIO - 02";"05 - VITERBO";419659,00;202462,00;307702,00;153302,00;4885,00;297458,00;297458,00;10244,00
"LAZIO";"LAZIO - 02";"06 - GUIDONIA MONTECELIO";387201,00;188327,00;284930,00;143375,00;4608,00;274716,00;274716,00;10214,00
"LAZIO";"LAZIO - 03";"07 - FROSINONE";364198,00;176345,00;273864,00;138268,00;8127,00;259251,00;259251,00;14613,00
"LAZIO";"LAZIO - 03";"08 - ROMA - FIUMICINO";432809,00;207276,00;310407,00;152775,00;2548,00;303287,00;303287,00;7120,00
"LAZIO";"LAZIO - 03";"09 - LATINA";407129,00;196553,00;296253,00;148210,00;5320,00;284340,00;284340,00;11913,00
"LAZIO";"LAZIO - 03";"10 - VELLETRI";421502,00;203652,00;304512,00;150913,00;3773,00;295669,00;295669,00;8843,00
"ABRUZZO";"ABRUZZO - 01";"01 - PESCARA";557917,00;266849,00;418778,00;208587,00;5346,00;403771,00;403771,00;15007,00
"ABRUZZO";"ABRUZZO - 01";"02 - L'AQUILA";406436,00;197725,00;304525,00;153960,00;4096,00;293946,00;293946,00;10579,00
"MOLISE";"MOLISE - 01";"01 - CAMPOBASSO";233710,00;113133,00;166650,00;84950,00;3030,00;159719,00;159719,00;6931,00
"CAMPANIA";"CAMPANIA - 01";"01 - BENEVENTO";376313,00;179745,00;269255,00;136528,00;6203,00;256112,00;256112,00;13143,00
"CAMPANIA";"CAMPANIA - 01";"02 - CASERTA";436647,00;209059,00;301654,00;152718,00;4053,00;291371,00;291371,00;10283,00
"CAMPANIA";"CAMPANIA - 01";"03 - AVELLINO";356162,00;172964,00;255842,00;131684,00;5155,00;244592,00;244592,00;11250,00
"CAMPANIA";"CAMPANIA - 02";"04 - GIUGLIANO IN CAMPANIA";416008,00;199860,00;268877,00;136818,00;2154,00;262088,00;262088,00;6789,00
"CAMPANIA";"CAMPANIA - 02";"06 - CASORIA";396363,00;188834,00;268287,00;135573,00;2403,00;261391,00;261391,00;6896,00
