"REGIONE";"NUMELETTORITOTALI";"NUMELETTORIMASCHI";"NUMVOTANTITOTALI";"NUMVOTANTIMASCHI";"SKBIANCHE";"VOTIVALIDILISTE";"VOTIVALIDICANDIDATI";"SKNONVALIDE"
"PIEMONTE";3142084,00;1504091,00;2359541,00;1166756,00;23372,00;2272014,00;2272014,00;87527,00
"LOMBARDIA";6933297,00;3338297,00;5340489,00;2638175,00;64317,00;5188520,00;5188520,00;151969,00
"TRENTINO-ALTO ADIGE";724073,00;352861,00;543481,00;268282,00;17736,00;511271,00;511271,00;32210,00
"VENETO";3440131,00;1662623,00;2712737,00;1348634,00;24863,00;2641463,00;2641463,00;71274,00
"FRIULI-VENEZIA GIULIA";886339,00;424241,00;665611,00;327732,00;6372,00;643877,00;643679,00;21932,00
"LIGURIA";1149900,00;539208,00;826799,00;404017,00;7739,00;803201,00;803201,00;23598,00
"EMILIA-ROMAGNA";3098700,00;1488932,00;2426269,00;1202181,00;24723,00;2360577,00;2360577,00;65692,00
"TOSCANA";2647437,00;1259685,00;2047422,00;1008109,00;18937,00;1987776,00;1987776,00;59646,00
"UMBRIA";625191,00;298934,00;487451,00;244091,00;4974,00;473763,00;473763,00;13688,00
"MARCHE";1095884,00;526968,00;844732,00;424058,00;10052,00;821527,00;821527,00;23205,00
"LAZIO";4052534,00;1918851,00;2945293,00;1438221,00;39493,00;2851754,00;2851754,00;93539,00
"ABRUZZO";964353,00;464574,00;723303,00;362547,00;9442,00;697717,00;697717,00;25586,00
"MOLISE";233710,00;113133,00;166650,00;84950,00;3030,00;159719,00;159719,00;6931,00
"CAMPANIA";4088744,00;1946969,00;2774197,00;1402828,00;37218,00;2680271,00;2680271,00;93926,00
"PUGLIA";2971874,00;1414007,00;2054760,00;1038898,00;27661,00;1979611,00;1979611,00;75149,00
"BASILICATA";423233,00;204814,00;300948,00;154209,00;5222,00;286309,00;286309,00;14639,00
"CALABRIA";1402353,00;672545,00;890590,00;458831,00;16216,00;847784,00;847784,00;42806,00
"SICILIA";3630336,00;1720455,00;2286543,00;1158368,00;26943,00;2194055,00;2194055,00;92488,00
"SARDEGNA";1269860,00;613830,00;834998,00;418901,00;8455,00;809352,00;809352,00;25646,00
