"DATAELEZIONE";"CODTIPOELEZIONE";"SUT1";"SUT2";"SUT3";"SUT4";"REGIONE";"COLLEGIO";"COMUNE";"NUMELETTORI";"NUMELETTORIMASCHI";"VOTANTITOT";"VOTANTIMASCHI";"SKBIANCHE"
25/9/2022 00:00:00;"S";"2";"1";"4";"10";"VALLE D'AOSTA";" U01 (AOSTA)";"ALLEIN";"169";"91";103;56;8
25/9/2022 00:00:00;"S";"2";"1";"4";"20";"VALLE D'AOSTA";" U01 (AOSTA)";"ANTEY-SAINT-ANDRE'";"430";"207";271;130;8
25/9/2022 00:00:00;"S";"2";"1";"4";"30";"VALLE D'AOSTA";" U01 (AOSTA)";"AOSTA";"26252";"12208";15828;7575;406
25/9/2022 00:00:00;"S";"2";"1";"4";"40";"VALLE D'AOSTA";" U01 (AOSTA)";"ARNAD";"1010";"470";596;290;18
25/9/2022 00:00:00;"S";"2";"1";"4";"50";"VALLE D'AOSTA";" U01 (AOSTA)";"ARVIER";"654";"327";378;192;12
25/9/2022 00:00:00;"S";"2";"1";"4";"60";"VALLE D'AOSTA";" U01 (AOSTA)";"AVISE";"226";"109";166;82;8
25/9/2022 00:00:00;"S";"2";"1";"4";"70";"VALLE D'AOSTA";" U01 (AOSTA)";"AYAS";"1042";"523";676;355;21
25/9/2022 00:00:00;"S";"2";"1";"4";"80";"VALLE D'AOSTA";" U01 (AOSTA)";"AYMAVILLES";"1633";"801";987;485;16
25/9/2022 00:00:00;"S";"2";"1";"4";"90";"VALLE D'AOSTA";" U01 (AOSTA)";"BARD";"86";"40";54;25;3
25/9/2022 00:00:00;"S";"2";"1";"4";"100";"VALLE D'AOSTA";" U01 (AOSTA)";"BIONAZ";"180";"97";108;61;8
25/9/2022 00:00:00;"S";"2";"1";"4";"110";"VALLE D'AOSTA";" U01 (AOSTA)";"BRISSOGNE";"785";"411";495;247;12
25/9/2022 00:00:00;"S";"2";"1";"4";"120";"VALLE D'AOSTA";" U01 (AOSTA)";"BRUSSON";"694";"343";460;226;10
25/9/2022 00:00:00;"S";"2";"1";"4";"130";"VALLE D'AOSTA";" U01 (AOSTA)";"CHALLAND-SAINT-ANSELME";"565";"270";359;171;19
25/9/2022 00:00:00;"S";"2";"1";"4";"140";"VALLE D'AOSTA";" U01 (AOSTA)";"CHALLAND-SAINT-VICTOR";"415";"196";252;126;9
